group_name,group_code,last_time_checked, telegram_link
Trading Crypto Coach,TCC,2020-10-19,https://t.me/tradingcryptocoach
Trading Crypto Guide,TCG,2020-10-19,https://t.me/TCGFORYOU
BigPumpSignal,BPS,2020-10-15,https://t.me/bigpumpsignal
BigPumpGroup.com,BPG,2020-10-15,https://t.me/bigpumpgroup_com
Mega Pump Group,MPG,2020-10-15,https://t.me/mega_pump_group
Crypto4Pumps,C4P,2020-10-15,https://t.me/Crypto4Pumps
Pump King Community,PKG,2020-10-15,https://t.me/pumpingking
AltTheWay,ATW,2020-10-15,https://t.me/AltTheWay
Luxurious,LUX,2020-10-18,https://t.me/LuxuriousCrypto
Cryptopia pump squad,CPS,2020-10-18,https://t.me/cryptoflashsignals
Crypto coin B,CCB,2020-10-15,https://t.me/CryptoCoinsCoach
Fast Crypto Signals,FCS,2020-10-18,https://t.me/fastcrypt
Whales Crypto Guide,WCG,2020-10-26,https://t.me/Whalesguide
